Timepoint,Flask,mM_HCHO,rep,CFU,CFU_ext
8,A,5,B,181.8181818,181.8181818
8,A,5,C,272.7272727,272.7272727
8,A,6,A,0,0
8,A,6,B,0,0
8,A,6,C,90.90909091,90.90909091
8,A,7,A,0,0
8,A,7,B,90.90909091,90.90909091
8,A,7,C,0,0
8,A,8,A,0,90.90909091
8,A,8,B,0,0
8,A,8,C,0,0
8,A,9,A,0,0
8,A,9,B,0,0
8,A,9,C,0,0
8,A,10,A,0,0
8,A,10,B,0,0
8,A,10,C,0,0
8,A,11,A,0,0
8,A,11,B,0,0
8,A,11,C,0,0
8,A,12,A,0,0
8,A,12,B,0,0
8,A,12,C,0,0
8,B,0,A,318181.8182,318181.8182
8,B,0,B,336363.6364,336363.6364
8,B,0,C,354545.4545,354545.4545
8,B,1,A,1181.818182,1181.818182
8,B,1,B,1090.909091,1090.909091
8,B,1,C,909.0909091,909.0909091
8,B,2,A,90.90909091,90.90909091
8,B,2,B,90.90909091,90.90909091
8,B,2,C,454.5454545,454.5454545
8,B,3,A,363.6363636,363.6363636
8,B,3,B,90.90909091,90.90909091
8,B,3,C,272.7272727,272.7272727
8,B,4,A,272.7272727,272.7272727
8,B,4,B,272.7272727,272.7272727
8,B,4,C,545.4545455,545.4545455
8,B,5,A,90.90909091,90.90909091
8,B,5,B,90.90909091,90.90909091
8,B,5,C,90.90909091,90.90909091
8,B,6,A,0,90.90909091
8,B,6,B,0,0
8,B,6,C,0,0
8,B,7,A,0,0
8,B,7,B,0,0
8,B,7,C,0,0
8,B,8,A,0,0
8,B,8,B,0,0
8,B,8,C,0,0
8,B,9,A,0,0
8,B,9,B,0,0
8,B,9,C,0,0
8,B,10,A,0,0
8,B,10,B,0,0
8,B,10,C,0,0
8,B,11,A,0,0
8,B,11,B,0,0
8,B,11,C,0,0
8,B,12,A,0,0
8,B,12,B,0,0
8,B,12,C,0,0
8,C,0,A,281818.1818,281818.1818
8,C,0,B,336363.6364,336363.6364
8,C,0,C,345454.5455,345454.5455
8,C,1,A,818.1818182,818.1818182
8,C,1,B,1272.727273,1272.727273
8,C,1,C,1272.727273,1272.727273
8,C,2,A,90.90909091,90.90909091
8,C,2,B,363.6363636,363.6363636
8,C,2,C,272.7272727,272.7272727
8,C,3,A,363.6363636,363.6363636
8,C,3,B,90.90909091,90.90909091
8,C,3,C,90.90909091,90.90909091
8,C,4,A,363.6363636,363.6363636
8,C,4,B,0,0
8,C,4,C,90.90909091,90.90909091
8,C,5,A,272.7272727,272.7272727
8,C,5,B,0,0
8,C,5,C,0,0
8,C,6,A,0,90.90909091
8,C,6,B,0,0
8,C,6,C,0,0
8,C,7,A,0,90.90909091
8,C,7,B,0,0
8,C,7,C,0,0
8,C,8,A,0,90.90909091
8,C,8,B,0,0
8,C,8,C,0,0
8,C,9,A,0,0
8,C,9,B,90.90909091,90.90909091
8,C,9,C,0,0
8,C,10,A,0,90.90909091
8,C,10,B,0,0
8,C,10,C,0,0
8,C,11,A,0,0
8,C,11,B,0,0
