Flask,Timepoint,mM_HCHO,Rep,CFU,CFU_ext
12S,20,10,B,0,0
12S,20,10,C,0,0
12S,20,12,A,0,0
12S,20,12,B,0,0
12S,20,12,C,0,0
10M,24,0,A,409090909.1,409090909.1
10M,24,0,B,281818181.8,281818181.8
10M,24,0,C,318181818.2,318181818.2
10M,24,2,A,26363636.36,26363636.36
10M,24,2,B,45454545.45,45454545.45
10M,24,2,C,31818181.82,31818181.82
10M,24,4,A,8181818.182,8181818.182
10M,24,4,B,15454545.45,15454545.45
10M,24,4,C,9090909.091,9090909.091
10M,24,6,A,3545454.545,3545454.545
10M,24,6,B,3272727.273,3272727.273
10M,24,6,C,3272727.273,3272727.273
10M,24,8,A,54545.45455,54545.45455
10M,24,8,B,50000,50000
10M,24,8,C,40909.09091,40909.09091
10M,24,10,A,0,90.90909091
10M,24,10,B,0,0
10M,24,10,C,0,0
10M,24,12,A,0,0
10M,24,12,B,0,0
10M,24,12,C,0,0
10S,24,0,A,163636363.6,163636363.6
10S,24,0,B,227272727.3,227272727.3
10S,24,0,C,254545454.5,254545454.5
10S,24,2,A,427272.7273,427272.7273
10S,24,2,B,418181.8182,418181.8182
10S,24,2,C,636363.6364,636363.6364
10S,24,4,A,63636.36364,63636.36364
10S,24,4,B,81818.18182,81818.18182
10S,24,4,C,72727.27273,72727.27273
10S,24,6,A,545.4545455,545.4545455
10S,24,6,B,545.4545455,545.4545455
10S,24,6,C,545.4545455,545.4545455
10S,24,8,A,0,90.90909091
10S,24,8,B,0,0
10S,24,8,C,0,0
10S,24,10,A,0,0
10S,24,10,B,0,0
10S,24,10,C,0,0
10S,24,12,A,0,0
10S,24,12,B,0,0
10S,24,12,C,0,0
11M,24,0,A,245454545.5,245454545.5
11M,24,0,B,218181818.2,218181818.2
11M,24,0,C,227272727.3,227272727.3
11M,24,2,A,118181818.2,118181818.2
11M,24,2,B,154545454.5,154545454.5
11M,24,2,C,109090909.1,109090909.1
11M,24,4,A,72727272.73,72727272.73
11M,24,4,B,63636363.64,63636363.64
11M,24,4,C,100000000,100000000
11M,24,6,A,54545454.55,54545454.55
11M,24,6,B,54545454.55,54545454.55
11M,24,6,C,54545454.55,54545454.55
11M,24,8,A,818181.8182,818181.8182
11M,24,8,B,818181.8182,818181.8182
11M,24,8,C,909090.9091,909090.9091
11M,24,10,A,0,90.90909091
11M,24,10,B,0,0
11M,24,10,C,0,0
11M,24,12,A,0,0
11M,24,12,B,0,0
11M,24,12,C,0,0
11S,24,0,A,154545454.5,154545454.5
11S,24,0,B,63636363.64,63636363.64
11S,24,0,C,100000000,100000000
11S,24,2,A,6363636.364,6363636.364
11S,24,2,B,3181818.182,3181818.182
11S,24,2,C,4545454.545,4545454.545
11S,24,4,A,1090909.091,1090909.091
11S,24,4,B,1181818.182,1181818.182
11S,24,4,C,909090.9091,909090.9091
11S,24,6,A,16363.63636,16363.63636
11S,24,6,B,3636.363636,3636.363636
11S,24,6,C,10909.09091,10909.09091
11S,24,8,A,0,90.90909091
11S,24,8,B,0,0
11S,24,8,C,0,0
11S,24,10,A,0,0
11S,24,10,B,0,0
11S,24,10,C,0,0
11S,24,12,A,0,0
11S,24,12,B,0,0
11S,24,12,C,0,0
12M,24,0,A,245454545.5,245454545.5
12M,24,0,B,254545454.5,254545454.5
12M,24,0,C,200000000,200000000
12M,24,2,A,37272727.27,37272727.27
12M,24,2,B,54545454.55,54545454.55
12M,24,2,C,34545454.55,34545454.55
12M,24,4,A,9090909.091,9090909.091
12M,24,4,B,10000000,10000000
12M,24,4,C,12727272.73,12727272.73
12M,24,6,A,3000000,3000000
12M,24,6,B,5454545.455,5454545.455
12M,24,6,C,2636363.636,2636363.636
12M,24,8,A,81818.18182,81818.18182
12M,24,8,B,42727.27273,42727.27273
12M,24,8,C,38181.81818,38181.81818
12M,24,10,A,0,90.90909091
12M,24,10,B,0,0
12M,24,10,C,0,0
12M,24,12,A,0,0
12M,24,12,B,0,0
12M,24,12,C,0,0
12S,24,0,A,200000000,200000000
12S,24,0,B,127272727.3,127272727.3
12S,24,0,C,200000000,200000000
12S,24,2,A,636363.6364,636363.6364
12S,24,2,B,363636.3636,363636.3636
12S,24,2,C,636363.6364,636363.6364
12S,24,4,A,136363.6364,136363.6364
12S,24,4,B,100000,100000
12S,24,4,C,72727.27273,72727.27273
12S,24,6,A,909.0909091,909.0909091
12S,24,6,B,818.1818182,818.1818182
12S,24,6,C,909.0909091,909.0909091
12S,24,8,A,0,90.90909091
12S,24,8,B,0,0
12S,24,8,C,0,0
12S,24,10,A,0,0
12S,24,10,B,0,0
12S,24,10,C,0,0
12S,24,12,A,0,0
12S,24,12,B,0,0
12S,24,12,C,0,0
