Flask,Timepoint,mM_HCHO,Rep,CFU,CFU_ext
11M,4,0,C,3545454.545,3545454.545
11M,4,2,A,2454545.455,2454545.455
11M,4,2,B,3363636.364,3363636.364
11M,4,2,C,3000000,3000000
11M,4,4,A,1363636.364,1363636.364
11M,4,4,B,1909090.909,1909090.909
11M,4,4,C,1363636.364,1363636.364
11M,4,6,A,1181818.182,1181818.182
11M,4,6,B,1181818.182,1181818.182
11M,4,6,C,1545454.545,1545454.545
11M,4,8,A,172727.2727,172727.2727
11M,4,8,B,163636.3636,163636.3636
11M,4,8,C,154545.4545,154545.4545
11M,4,10,A,0,90.90909091
11M,4,10,B,0,0
11M,4,10,C,0,0
11M,4,12,A,0,0
11M,4,12,B,0,0
11M,4,12,C,0,0
11S,4,0,A,3000000,3000000
11S,4,0,B,3090909.091,3090909.091
11S,4,0,C,2636363.636,2636363.636
11S,4,2,A,1727272.727,1727272.727
11S,4,2,B,2000000,2000000
11S,4,2,C,1818181.818,1818181.818
11S,4,4,A,818181.8182,818181.8182
11S,4,4,B,1000000,1000000
11S,4,4,C,545454.5455,545454.5455
11S,4,6,A,727272.7273,727272.7273
11S,4,6,B,454545.4545,454545.4545
11S,4,6,C,454545.4545,454545.4545
11S,4,8,A,33636.36364,33636.36364
11S,4,8,B,40909.09091,40909.09091
11S,4,8,C,30909.09091,30909.09091
11S,4,10,A,0,90.90909091
11S,4,10,B,0,0
11S,4,10,C,0,0
11S,4,12,A,0,0
11S,4,12,B,0,0
11S,4,12,C,0,0
12M,4,0,A,2363636.364,2363636.364
12M,4,0,B,3090909.091,3090909.091
12M,4,0,C,2727272.727,2727272.727
12M,4,2,A,2545454.545,2545454.545
12M,4,2,B,2090909.091,2090909.091
12M,4,2,C,2363636.364,2363636.364
12M,4,4,A,136363.6364,136363.6364
12M,4,4,B,145454.5455,145454.5455
12M,4,4,C,172727.2727,172727.2727
12M,4,6,A,109090.9091,109090.9091
12M,4,6,B,109090.9091,109090.9091
12M,4,6,C,218181.8182,218181.8182
12M,4,8,A,26363.63636,26363.63636
12M,4,8,B,17272.72727,17272.72727
12M,4,8,C,20000,20000
12M,4,10,A,0,90.90909091
12M,4,10,B,0,0
12M,4,10,C,0,0
12M,4,12,A,0,0
12M,4,12,B,0,0
12M,4,12,C,0,0
12S,4,0,A,2909090.909,2909090.909
12S,4,0,B,3454545.455,3454545.455
12S,4,0,C,2545454.545,2545454.545
12S,4,2,A,1727272.727,1727272.727
12S,4,2,B,1454545.455,1454545.455
12S,4,2,C,1727272.727,1727272.727
12S,4,4,A,163636.3636,163636.3636
12S,4,4,B,100000,100000
12S,4,4,C,136363.6364,136363.6364
12S,4,6,A,90909.09091,90909.09091
12S,4,6,B,100000,100000
12S,4,6,C,54545.45455,54545.45455
12S,4,8,A,11818.18182,11818.18182
12S,4,8,B,16363.63636,16363.63636
12S,4,8,C,8181.818182,8181.818182
12S,4,10,A,0,90.90909091
12S,4,10,B,0,0
12S,4,10,C,0,0
12S,4,12,A,0,0
12S,4,12,B,0,0
12S,4,12,C,0,0
10M,8,0,A,10000000,10000000
10M,8,0,B,10909090.91,10909090.91
10M,8,0,C,4545454.545,4545454.545
10M,8,2,A,3909090.909,3909090.909
10M,8,2,B,3727272.727,3727272.727
10M,8,2,C,2909090.909,2909090.909
10M,8,4,A,372727.2727,372727.2727
10M,8,4,B,281818.1818,281818.1818
10M,8,4,C,300000,300000
10M,8,6,A,136363.6364,136363.6364
10M,8,6,B,190909.0909,190909.0909
10M,8,6,C,200000,200000
10M,8,8,A,7272.727273,7272.727273
10M,8,8,B,10909.09091,10909.09091
10M,8,8,C,8181.818182,8181.818182
10M,8,10,A,0,90.90909091
10M,8,10,B,0,0
10M,8,10,C,0,0
10M,8,12,A,0,0
10M,8,12,B,0,0
10M,8,12,C,0,0
10S,8,0,A,7272727.273,7272727.273
10S,8,0,B,6363636.364,6363636.364
10S,8,0,C,4545454.545,4545454.545
10S,8,2,A,1090909.091,1090909.091
10S,8,2,B,1090909.091,1090909.091
10S,8,2,C,1000000,1000000
10S,8,4,A,145454.5455,145454.5455
10S,8,4,B,90909.09091,90909.09091
10S,8,4,C,136363.6364,136363.6364
10S,8,6,A,31818.18182,31818.18182
10S,8,6,B,30909.09091,30909.09091
10S,8,6,C,23636.36364,23636.36364
10S,8,8,A,0,0
10S,8,8,B,454.5454545,454.5454545
10S,8,8,C,0,0
10S,8,10,A,0,0
10S,8,10,B,0,90.90909091
10S,8,10,C,0,0
10S,8,12,A,0,0
10S,8,12,B,0,0
10S,8,12,C,0,0
11M,8,0,A,7272727.273,7272727.273
11M,8,0,B,5454545.455,5454545.455
11M,8,0,C,8181818.182,8181818.182
11M,8,2,A,4636363.636,4636363.636
11M,8,2,B,4636363.636,4636363.636
11M,8,2,C,9090909.091,9090909.091
11M,8,4,A,3000000,3000000
11M,8,4,B,2909090.909,2909090.909
11M,8,4,C,2272727.273,2272727.273
11M,8,6,A,1545454.545,1545454.545
11M,8,6,B,2000000,2000000
11M,8,6,C,1909090.909,1909090.909
11M,8,8,A,100000,100000
11M,8,8,B,90909.09091,90909.09091
11M,8,8,C,154545.4545,154545.4545
11M,8,10,A,0,90.90909091
11M,8,10,B,0,0
11M,8,10,C,0,0
11M,8,12,A,0,0
11M,8,12,B,0,0
11M,8,12,C,0,0
11S,8,0,A,4181818.182,4181818.182
11S,8,0,B,3272727.273,3272727.273
11S,8,0,C,3909090.909,3909090.909
